SMILEScsa,VoltageCSA
CS(=O)(=O)\N=C(C(F)=C1F)\C(=N/S(=O)(=O)C)\c(c1c23)c(F)cc2c(F)cc(F)c3F,3.061741289
Cc1c(C)c(C)c(C)c2ccc(c3c12)C(C)=C(C)/C(=N\S(=O)(=O)C)C\3=N/S(=O)(=O)C,2.438426076
CS(=O)(=O)/N=C(C1)\C(=N\S(=O)(=O)C)\C(N)=c(c2N)c=1c(N)c(c23)cc(N)cc3N,2.448766408
CS(=O)(=O)\N=C\1C(N)=C(N)C(=N/S(=O)(=O)C)\c(c12)c(N)c(N)c3c2cc(N)cc3,2.020469856
Cc1c(C)cc(C)c(c12)/C(=N/S(=O)(=O)C)C(=N\S(=O)(=O)C)\c3c2cc(C)cc3,2.339158889
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=Cc(c2N)c1c(N)c(c23)ccc(N)c3N,2.238237248
CS(=O)(=O)\N=C\1C(=N\S(=O)(=O)C)\C(C)=Cc2ccc(c3c12)ccc(C)c3,2.667567833
CS(=O)(=O)\N=C(C(N)=C1N)\C(=N/S(=O)(=O)C)\c(c12)cc3c(c2N)cc(N)cc3,2.149103587
COc1cc(OC)c(OC)c2ccc(c3c12)C(OC)=CC(=N/S(=O)(=O)C)\C\3=N/S(=O)(=O)C,2.467792619
CS(=O)(=O)/N=C(\C1F)/C(=N\S(=O)(=O)C)C=c(c2F)c=1cc(c23)c(F)ccc3,3.462532557
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=C(N)c(c12)cc3c(c2N)cccc3,2.242786994
CS(=O)(=O)\N=C(C=C1)\C(=N/S(=O)(=O)C)\c2c1cc(N)c(c23)c(N)c(N)cc3N,2.471308332
CS(=O)(=O)\N=C(C(=C1)N)\C(=N/S(=O)(=O)C)\c(c2N)c1c(N)c(c23)cc(N)c(N)c3N,2.079616556
CS(=O)(=O)/N=C\1/C(=N/S(=O)(=O)C)C(N)=C(N)c(c12)c(N)c(N)c(N)c2N,1.939401654
COc1c(OC)ccc(c12)c3c(c(OC)ccc3)/C(=N\S(=O)(=O)C)C\2=N/S(=O)(=O)C,2.396237521
Cc1c(C)c(C)c(C)c(c12)cc3c(c2C)C(=N\S(=O)(=O)C)\C(C)=CC\3=N/S(=O)(=O)C,2.4547638
CS(=O)(=O)\N=C\1C(F)=CC(=N/S(=O)(=O)C)\c(c12)cc3c(c2F)ccc(F)c3,2.725473692
COc1c(OC)ccc(c12)cc3c(c2)/C(=N/S(=O)(=O)C)C=C(OC)C\3=N/S(=O)(=O)C,2.422915578
